% nSim ->    2688
%      nExp        nIn        hLS      trFcn         lr        trC
        465         28         12   trainscg       0.01    1000000
        466         28         12   trainscg       0.01    2000000
        467         28         12   trainscg       0.01    5000000
        468         28         12   trainscg       0.01    1000000
        469         28         12   trainscg       0.05    1000000
        470         28         12   trainscg       0.05    2000000
        471         28         12   trainscg       0.05    5000000
        472         28         12   trainscg       0.05    1000000
        473         28         12   trainscg       0.10    1000000
        474         28         12   trainscg       0.10    2000000
        475         28         12   trainscg       0.10    5000000
        476         28         12   trainscg       0.10    1000000
        477         28         12   trainscg       0.20    1000000
        478         28         12   trainscg       0.20    2000000
        479         28         12   trainscg       0.20    5000000
        480         28         12   trainscg       0.20    1000000
        481         28         18    trainlm       0.01    1000000
        482         28         18    trainlm       0.01    2000000
        483         28         18    trainlm       0.01    5000000
        484         28         18    trainlm       0.01    1000000
        485         28         18    trainlm       0.05    1000000
        486         28         18    trainlm       0.05    2000000
        487         28         18    trainlm       0.05    5000000
        488         28         18    trainlm       0.05    1000000
        489         28         18    trainlm       0.10    1000000
        490         28         18    trainlm       0.10    2000000
        491         28         18    trainlm       0.10    5000000
        492         28         18    trainlm       0.10    1000000
        493         28         18    trainlm       0.20    1000000
        494         28         18    trainlm       0.20    2000000
        495         28         18    trainlm       0.20    5000000
        496         28         18    trainlm       0.20    1000000
        497         28         18    trainrp       0.01    1000000
        498         28         18    trainrp       0.01    2000000
        499         28         18    trainrp       0.01    5000000
        500         28         18    trainrp       0.01    1000000
        501         28         18    trainrp       0.05    1000000
        502         28         18    trainrp       0.05    2000000
        503         28         18    trainrp       0.05    5000000
        504         28         18    trainrp       0.05    1000000
        505         28         18    trainrp       0.10    1000000
        506         28         18    trainrp       0.10    2000000
        507         28         18    trainrp       0.10    5000000
        508         28         18    trainrp       0.10    1000000
        509         28         18    trainrp       0.20    1000000
        510         28         18    trainrp       0.20    2000000
        511         28         18    trainrp       0.20    5000000
        512         28         18    trainrp       0.20    1000000
        513         28         18   trainscg       0.01    1000000
        514         28         18   trainscg       0.01    2000000
        515         28         18   trainscg       0.01    5000000
        516         28         18   trainscg       0.01    1000000
        517         28         18   trainscg       0.05    1000000
        518         28         18   trainscg       0.05    2000000
        519         28         18   trainscg       0.05    5000000
        520         28         18   trainscg       0.05    1000000
        521         28         18   trainscg       0.10    1000000
        522         28         18   trainscg       0.10    2000000
        523         28         18   trainscg       0.10    5000000
        524         28         18   trainscg       0.10    1000000
        525         28         18   trainscg       0.20    1000000
        526         28         18   trainscg       0.20    2000000
        527         28         18   trainscg       0.20    5000000
        528         28         18   trainscg       0.20    1000000
        529         28         24    trainlm       0.01    1000000
        530         28         24    trainlm       0.01    2000000
        531         28         24    trainlm       0.01    5000000
        532         28         24    trainlm       0.01    1000000
        533         28         24    trainlm       0.05    1000000
        534         28         24    trainlm       0.05    2000000
        535         28         24    trainlm       0.05    5000000
        536         28         24    trainlm       0.05    1000000
        537         28         24    trainlm       0.10    1000000
        538         28         24    trainlm       0.10    2000000
        539         28         24    trainlm       0.10    5000000
        540         28         24    trainlm       0.10    1000000
        541         28         24    trainlm       0.20    1000000
        542         28         24    trainlm       0.20    2000000
        543         28         24    trainlm       0.20    5000000
        544         28         24    trainlm       0.20    1000000
        545         28         24    trainrp       0.01    1000000
        546         28         24    trainrp       0.01    2000000
        547         28         24    trainrp       0.01    5000000
        548         28         24    trainrp       0.01    1000000
        549         28         24    trainrp       0.05    1000000
        550         28         24    trainrp       0.05    2000000
        551         28         24    trainrp       0.05    5000000
        552         28         24    trainrp       0.05    1000000
        553         28         24    trainrp       0.10    1000000
        554         28         24    trainrp       0.10    2000000
        555         28         24    trainrp       0.10    5000000
        556         28         24    trainrp       0.10    1000000
        557         28         24    trainrp       0.20    1000000
        558         28         24    trainrp       0.20    2000000
        559         28         24    trainrp       0.20    5000000
        560         28         24    trainrp       0.20    1000000
        561         28         24   trainscg       0.01    1000000
        562         28         24   trainscg       0.01    2000000
        563         28         24   trainscg       0.01    5000000
