% nSim ->    2800
  nExp  nIn  hLS      trFcn    lr    trC
   236   5    5    trainrp  0.01   1000
   237   5    5    trainrp  0.01   5000
   238   5    5    trainrp  0.01  10000
   239   5    5    trainrp  0.01  20000
   240   5    5    trainrp  0.01  50000
   241   5    5   trainscg  0.20   1000
   242   5    5   trainscg  0.20   5000
   243   5    5   trainscg  0.20  10000
   244   5    5   trainscg  0.20  20000
   245   5    5   trainscg  0.20  50000
   246   5    5   trainscg  0.10   1000
   247   5    5   trainscg  0.10   5000
   248   5    5   trainscg  0.10  10000
   249   5    5   trainscg  0.10  20000
   250   5    5   trainscg  0.10  50000
   251   5    5   trainscg  0.05   1000
   252   5    5   trainscg  0.05   5000
   253   5    5   trainscg  0.05  10000
   254   5    5   trainscg  0.05  20000
   255   5    5   trainscg  0.05  50000
   256   5    5   trainscg  0.01   1000
   257   5    5   trainscg  0.01   5000
   258   5    5   trainscg  0.01  10000
   259   5    5   trainscg  0.01  20000
   260   5    5   trainscg  0.01  50000
   261   5    5   traingdm  0.20   1000
   262   5    5   traingdm  0.20   5000
   263   5    5   traingdm  0.20  10000
   264   5    5   traingdm  0.20  20000
   265   5    5   traingdm  0.20  50000
   266   5    5   traingdm  0.10   1000
   267   5    5   traingdm  0.10   5000
   268   5    5   traingdm  0.10  10000
   269   5    5   traingdm  0.10  20000
   270   5    5   traingdm  0.10  50000
   271   5    5   traingdm  0.05   1000
   272   5    5   traingdm  0.05   5000
   273   5    5   traingdm  0.05  10000
   274   5    5   traingdm  0.05  20000
   275   5    5   traingdm  0.05  50000
   276   5    5   traingdm  0.01   1000
   277   5    5   traingdm  0.01   5000
   278   5    5   traingdm  0.01  10000
   279   5    5   traingdm  0.01  20000
   280   5    5   traingdm  0.01  50000
   281   5   10    trainlm  0.20   1000
   282   5   10    trainlm  0.20   5000
   283   5   10    trainlm  0.20  10000
   284   5   10    trainlm  0.20  20000
   285   5   10    trainlm  0.20  50000
   286   5   10    trainlm  0.10   1000
   287   5   10    trainlm  0.10   5000
   288   5   10    trainlm  0.10  10000
   289   5   10    trainlm  0.10  20000
   290   5   10    trainlm  0.10  50000
   291   5   10    trainlm  0.05   1000
   292   5   10    trainlm  0.05   5000
   293   5   10    trainlm  0.05  10000
   294   5   10    trainlm  0.05  20000
   295   5   10    trainlm  0.05  50000
   296   5   10    trainlm  0.01   1000
   297   5   10    trainlm  0.01   5000
   298   5   10    trainlm  0.01  10000
   299   5   10    trainlm  0.01  20000
   300   5   10    trainlm  0.01  50000
   301   5   10    traingd  0.20   1000
   302   5   10    traingd  0.20   5000
   303   5   10    traingd  0.20  10000
   304   5   10    traingd  0.20  20000
   305   5   10    traingd  0.20  50000
   306   5   10    traingd  0.10   1000
   307   5   10    traingd  0.10   5000
   308   5   10    traingd  0.10  10000
   309   5   10    traingd  0.10  20000
   310   5   10    traingd  0.10  50000
   311   5   10    traingd  0.05   1000
   312   5   10    traingd  0.05   5000
   313   5   10    traingd  0.05  10000
   314   5   10    traingd  0.05  20000
   315   5   10    traingd  0.05  50000
   316   5   10    traingd  0.01   1000
   317   5   10    traingd  0.01   5000
   318   5   10    traingd  0.01  10000
   319   5   10    traingd  0.01  20000
   320   5   10    traingd  0.01  50000
   321   5   10   traingda  0.20   1000
   322   5   10   traingda  0.20   5000
   323   5   10   traingda  0.20  10000
   324   5   10   traingda  0.20  20000
   325   5   10   traingda  0.20  50000
   326   5   10   traingda  0.10   1000
   327   5   10   traingda  0.10   5000
   328   5   10   traingda  0.10  10000
   329   5   10   traingda  0.10  20000
   330   5   10   traingda  0.10  50000
   331   5   10   traingda  0.05   1000
   332   5   10   traingda  0.05   5000
   333   5   10   traingda  0.05  10000
   334   5   10   traingda  0.05  20000
   335   5   10   traingda  0.05  50000
   336   5   10   traingda  0.01   1000
   337   5   10   traingda  0.01   5000
   338   5   10   traingda  0.01  10000
   339   5   10   traingda  0.01  20000
   340   5   10   traingda  0.01  50000
   341   5   10   traingdx  0.20   1000
   342   5   10   traingdx  0.20   5000
   343   5   10   traingdx  0.20  10000
   344   5   10   traingdx  0.20  20000
   345   5   10   traingdx  0.20  50000
   346   5   10   traingdx  0.10   1000
   347   5   10   traingdx  0.10   5000
   348   5   10   traingdx  0.10  10000
   349   5   10   traingdx  0.10  20000
   350   5   10   traingdx  0.10  50000
   351   5   10   traingdx  0.05   1000
   352   5   10   traingdx  0.05   5000
   353   5   10   traingdx  0.05  10000
   354   5   10   traingdx  0.05  20000
   355   5   10   traingdx  0.05  50000
   356   5   10   traingdx  0.01   1000
   357   5   10   traingdx  0.01   5000
   358   5   10   traingdx  0.01  10000
   359   5   10   traingdx  0.01  20000
   360   5   10   traingdx  0.01  50000
   361   5   10    trainrp  0.20   1000
   362   5   10    trainrp  0.20   5000
   363   5   10    trainrp  0.20  10000
   364   5   10    trainrp  0.20  20000
   365   5   10    trainrp  0.20  50000
   366   5   10    trainrp  0.10   1000
   367   5   10    trainrp  0.10   5000
   368   5   10    trainrp  0.10  10000
   369   5   10    trainrp  0.10  20000
   370   5   10    trainrp  0.10  50000
   371   5   10    trainrp  0.05   1000
   372   5   10    trainrp  0.05   5000
   373   5   10    trainrp  0.05  10000
   374   5   10    trainrp  0.05  20000
   375   5   10    trainrp  0.05  50000
   376   5   10    trainrp  0.01   1000
   377   5   10    trainrp  0.01   5000
   378   5   10    trainrp  0.01  10000
   379   5   10    trainrp  0.01  20000
   380   5   10    trainrp  0.01  50000
   381   5   10   trainscg  0.20   1000
   382   5   10   trainscg  0.20   5000
   383   5   10   trainscg  0.20  10000
   384   5   10   trainscg  0.20  20000
   385   5   10   trainscg  0.20  50000
   386   5   10   trainscg  0.10   1000
   387   5   10   trainscg  0.10   5000
   388   5   10   trainscg  0.10  10000
   389   5   10   trainscg  0.10  20000
   390   5   10   trainscg  0.10  50000
   391   5   10   trainscg  0.05   1000
   392   5   10   trainscg  0.05   5000
