28
Consejería de Medio Ambiente Comunidad de Madrid
Alcalá 16
28001 MADRID
0230
28009001838902161101*****N011.3V011.2V010.2V09.40V08.10V07.70V09.40V010.0V011.7V015.2V016.9V017.6V017.6V017.9V017.8V017.1V016.0V015.7V015.3V014.5V013.5V013.3V013.6V
28009001868902161101*****N051.0V051.0V055.0V062.0V065.0V070.0V064.0V060.0V060.0V054.0V052.0V050.0V051.0V051.0V050.0V051.0V053.0V054.0V055.0V059.0V063.0V065.0V064.0V
28009001878902161101*****N00940V00940V00940V00940V00940V00940V00941V00942V00942V00942V00941V00941V00940V00940V00939V00939V00939V00940V00940V00940V00940V00940V00940V
28009001888902161101*****N04.00V04.00V04.00V04.00V04.00V06.00V062.0V00178V00336V00454V00504V00508V00349V00314V00193V00113V07.00V04.00V04.00V04.00V04.00V04.00V04.00V
28009001898902161101*****N00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2801300206480216110100.20V00.20V00.20V00.20V00.20V00.20V00.20V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.40V00.60V00.50V00.30V00.20V00.10V00.10V
2801300207080216110103.00V02.00V03.00V07.00V01.00V02.00V05.00V08.00V03.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V013.0V026.0V035.0V013.0V01.00V01.00V01.00V
28013002080802161101033.0V033.0V028.0V026.0V017.0V020.0V019.0V013.0V07.00V04.00V04.00V03.00V02.00V02.00V02.00V03.00V05.00V045.0V063.0V058.0V039.0V018.0V08.00V06.00V
28013002104902161101027.0V032.0V027.0V030.0V027.0V024.0V026.0V023.0V024.0V015.0V017.0V013.0V013.0V012.0V013.0V013.0V014.0V018.0V039.0V044.0V045.0V037.0V028.0V023.0V
28013002140602161101012.0V05.00V04.00V02.00V012.0V03.00V02.00V03.00V021.0V037.0V055.0V065.0V071.0V074.0V075.0V076.0V072.0V024.0V02.00V01.00V03.00V018.0V021.0V020.0V
2801300220590216110103.80V04.60V04.40V05.00V04.60V02.70V03.10V02.40V01.90V00.80V00.50V00.40V00.30V00.30V00.20V00.20V00.20V01.60V09.20V09.50V08.10V04.60V02.00V01.00V
