% nSim ->    2688
%      nExp        nIn        hLS      trFcn         lr        trC
       562         28         24          3       0.20       2000
       563         28         24          3       0.20       5000
       564         28         24          3       0.20       1000
       565         28         24          3       0.10       1000
       566         28         24          3       0.10       2000
       567         28         24          3       0.10       5000
       568         28         24          3       0.10       1000
       569         28         24          3       0.05       1000
       570         28         24          3       0.05       2000
       571         28         24          3       0.05       5000
       572         28         24          3       0.05       1000
       573         28         24          3       0.01       1000
       574         28         24          3       0.01       2000
       575         28         24          3       0.01       5000
       576         28         24          3       0.01       1000
       577         28         36          1       0.20       1000
       578         28         36          1       0.20       2000
       579         28         36          1       0.20       5000
       580         28         36          1       0.20       1000
       581         28         36          1       0.10       1000
       582         28         36          1       0.10       2000
       583         28         36          1       0.10       5000
       584         28         36          1       0.10       1000
       585         28         36          1       0.05       1000
       586         28         36          1       0.05       2000
       587         28         36          1       0.05       5000
       588         28         36          1       0.05       1000
       589         28         36          1       0.01       1000
       590         28         36          1       0.01       2000
       591         28         36          1       0.01       5000
       592         28         36          1       0.01       1000
       593         28         36          2       0.20       1000
       594         28         36          2       0.20       2000
       595         28         36          2       0.20       5000
       596         28         36          2       0.20       1000
       597         28         36          2       0.10       1000
       598         28         36          2       0.10       2000
       599         28         36          2       0.10       5000
       600         28         36          2       0.10       1000
       601         28         36          2       0.05       1000
       602         28         36          2       0.05       2000
       603         28         36          2       0.05       5000
       604         28         36          2       0.05       1000
       605         28         36          2       0.01       1000
       606         28         36          2       0.01       2000
       607         28         36          2       0.01       5000
       608         28         36          2       0.01       1000
       609         28         36          3       0.20       1000
       610         28         36          3       0.20       2000
       611         28         36          3       0.20       5000
       612         28         36          3       0.20       1000
       613         28         36          3       0.10       1000
       614         28         36          3       0.10       2000
       615         28         36          3       0.10       5000
       616         28         36          3       0.10       1000
       617         28         36          3       0.05       1000
       618         28         36          3       0.05       2000
       619         28         36          3       0.05       5000
       620         28         36          3       0.05       1000
       621         28         36          3       0.01       1000
       622         28         36          3       0.01       2000
       623         28         36          3       0.01       5000
       624         28         36          3       0.01       1000
       625         28         48          1       0.20       1000
       626         28         48          1       0.20       2000
       627         28         48          1       0.20       5000
       628         28         48          1       0.20       1000
       629         28         48          1       0.10       1000
       630         28         48          1       0.10       2000
       631         28         48          1       0.10       5000
       632         28         48          1       0.10       1000
       633         28         48          1       0.05       1000
       634         28         48          1       0.05       2000
       635         28         48          1       0.05       5000
       636         28         48          1       0.05       1000
       637         28         48          1       0.01       1000
       638         28         48          1       0.01       2000
       639         28         48          1       0.01       5000
       640         28         48          1       0.01       1000
       641         28         48          2       0.20       1000
       642         28         48          2       0.20       2000
       643         28         48          2       0.20       5000
       644         28         48          2       0.20       1000
       645         28         48          2       0.10       1000
       646         28         48          2       0.10       2000
       647         28         48          2       0.10       5000
       648         28         48          2       0.10       1000
       649         28         48          2       0.05       1000
       650         28         48          2       0.05       2000
       651         28         48          2       0.05       5000
       652         28         48          2       0.05       1000
       653         28         48          2       0.01       1000
       654         28         48          2       0.01       2000
       655         28         48          2       0.01       5000
       656         28         48          2       0.01       1000
       657         28         48          3       0.20       1000
       658         28         48          3       0.20       2000
       659         28         48          3       0.20       5000
       660         28         48          3       0.20       1000
       661         28         48          3       0.10       1000
       662         28         48          3       0.10       2000
       663         28         48          3       0.10       5000
