% nSim ->    1944
%      nExp        nIn        hLS      trFcn         lr        trC
       261         14          9          5       0.05       5000
       262         14          9          6       0.20       1000
       263         14          9          6       0.20       2000
       264         14          9          6       0.20       5000
       265         14          9          6       0.10       1000
       266         14          9          6       0.10       2000
       267         14          9          6       0.10       5000
       268         14          9          6       0.05       1000
       269         14          9          6       0.05       2000
       270         14          9          6       0.05       5000
       271         14         12          1       0.20       1000
       272         14         12          1       0.20       2000
       273         14         12          1       0.20       5000
       274         14         12          1       0.10       1000
       275         14         12          1       0.10       2000
       276         14         12          1       0.10       5000
       277         14         12          1       0.05       1000
       278         14         12          1       0.05       2000
       279         14         12          1       0.05       5000
       280         14         12          5       0.20       1000
       281         14         12          5       0.20       2000
       282         14         12          5       0.20       5000
       283         14         12          5       0.10       1000
       284         14         12          5       0.10       2000
       285         14         12          5       0.10       5000
       286         14         12          5       0.05       1000
       287         14         12          5       0.05       2000
       288         14         12          5       0.05       5000
       289         14         12          6       0.20       1000
       290         14         12          6       0.20       2000
       291         14         12          6       0.20       5000
       292         14         12          6       0.10       1000
       293         14         12          6       0.10       2000
       294         14         12          6       0.10       5000
       295         14         12          6       0.05       1000
       296         14         12          6       0.05       2000
       297         14         12          6       0.05       5000
       298         14         18          1       0.20       1000
       299         14         18          1       0.20       2000
       300         14         18          1       0.20       5000
       301         14         18          1       0.10       1000
       302         14         18          1       0.10       2000
       303         14         18          1       0.10       5000
       304         14         18          1       0.05       1000
       305         14         18          1       0.05       2000
       306         14         18          1       0.05       5000
       307         14         18          5       0.20       1000
       308         14         18          5       0.20       2000
       309         14         18          5       0.20       5000
       310         14         18          5       0.10       1000
       311         14         18          5       0.10       2000
       312         14         18          5       0.10       5000
       313         14         18          5       0.05       1000
       314         14         18          5       0.05       2000
       315         14         18          5       0.05       5000
       316         14         18          6       0.20       1000
       317         14         18          6       0.20       2000
       318         14         18          6       0.20       5000
       319         14         18          6       0.10       1000
       320         14         18          6       0.10       2000
       321         14         18          6       0.10       5000
       322         14         18          6       0.05       1000
       323         14         18          6       0.05       2000
       324         14         18          6       0.05       5000
       325         14         24          1       0.20       1000
       326         14         24          1       0.20       2000
       327         14         24          1       0.20       5000
       328         14         24          1       0.10       1000
       329         14         24          1       0.10       2000
       330         14         24          1       0.10       5000
       331         14         24          1       0.05       1000
       332         14         24          1       0.05       2000
       333         14         24          1       0.05       5000
       334         14         24          5       0.20       1000
       335         14         24          5       0.20       2000
       336         14         24          5       0.20       5000
       337         14         24          5       0.10       1000
       338         14         24          5       0.10       2000
       339         14         24          5       0.10       5000
       340         14         24          5       0.05       1000
       341         14         24          5       0.05       2000
       342         14         24          5       0.05       5000
       343         14         24          6       0.20       1000
