Pre-process PC 08  SC 47  yB 0 
	 value yy mm dd hh
	000000 14 12 22 12
	000000 14 12 22 13
	000000 14 12 22 14
	000000 14 12 22 15
	000000 14 12 22 16
	000000 14 12 22 17
	000001 14 12 22 18
	000300 14 12 22 19
	000004 14 12 22 20
	000005 14 12 22 21
	000006 14 12 22 22
	000006 14 12 22 23
	000005 14 12 22 24
	000005 14 12 23  1
	000006 14 12 23  2
	000006 14 12 23  3
	000006 14 12 23  4
	000006 14 12 23  5
	000006 14 12 23  6
	000005 14 12 23  7
	000000 14 12 23  8
	000000 14 12 23  9
	000000 14 12 23 10
	000000 14 12 23 11
	000000 14 12 23 12
	000000 14 12 23 13
	000036 14 12 23 14
	000005 15  1  4  6
	000017 15  1 15 13
	000081 15  1 23 10
	000042 15  2  3 11
	000044 15  3 18 10
	000196 15  3 25 12
	000000 15  3 29  3
	000026 15  3 30 10
	000033 15  4 14 11
	000170 15  4 28 11
	000028 15  5 12 10
	000042 15  5 26 11
	000173 15  6  3 10
	000050 15  6  3 11
	000058 15  6  9 11
	000000 15  6  9 13
	000000 15  6  9 14
	000000 15  6  9 15
	000119 15  6  9 16
	000028 15  6 10 11
	000065 15  6 10 13
	000000 15  6 10 14
	000000 15  6 10 15
	000000 15  6 10 16
	000089 15  6 23 11
	000063 15  7  7 11
	000027 15  7 10 11
	000062 15  7 22 11
	000145 15  8  3 10
	000082 15  8 18 15
	000000 15  8 21  2
	000007 15  8 21  3
	000079 15  9 28 15
	000109 15 10  2 17
	000038 15 10 14 15
	000016 15 10 27 10
	000029 15 11 10 15
	000008 15 11 12 10
	000012 15 11 16 13
	000000 15 11 16 14
	000000 15 11 16 15
	000000 15 11 16 16
	000000 15 11 16 17
	000009 15 11 16 18
	000018 15 11 21 21
	000017 15 11 21 22
	000017 15 11 21 23
	000017 15 11 21 24
	000017 15 11 22  1
	000016 15 11 22  2
	000016 15 11 22  3
	000016 15 11 22  4
	000016 15 11 22  5
	000016 15 11 22  6
	000016 15 11 22  7
	000017 15 11 22  8
	000016 15 11 22  9
	000016 15 11 22 10
	000016 15 11 22 11
	000016 15 11 22 12
	000016 15 11 22 13
	000016 15 11 22 14
	000016 15 11 22 15
	000016 15 11 22 16
	000016 15 11 22 17
	000016 15 11 22 18
	000016 15 11 22 19
	000016 15 11 22 20
	000016 15 11 22 21
	000016 15 11 22 22
	000016 15 11 22 23
	000016 15 11 22 24
	000016 15 11 23  1
	000016 15 11 23  2
	000016 15 11 23  3
	000016 15 11 23  4
	000016 15 11 23  5
	000016 15 11 23  6
	000016 15 11 23  7
	000016 15 11 23  8
	000016 15 11 23  9
	000069 15 11 23 10
	000026 15 11 23 12
	000026 15 11 23 13
	000026 15 11 23 14
	000026 15 11 23 15
	000012 15 12 18 11
	000000 15 12 18 12
	000000 15 12 18 13
	000000 15 12 18 14
	000019 15 12 18 15
	000047 16  1  4 10
	000024 16  1 14 14
	000015 16  1 20 11
	000049 16  2  3 13
	000062 16  3 17 20
	000000 16  3 17 21
	000000 16  3 17 22
	000000 16  3 17 23
	000000 16  3 17 24
	000000 16  3 18  1
	000000 16  3 18  2
	000000 16  3 18  3
	000000 16  3 18  4
	000000 16  3 18  5
	000000 16  3 18  6
	000000 16  3 18  7
	000000 16  3 18  8
	000000 16  3 18  9
	000000 16  3 18 10
	000000 16  3 18 11
	000000 16  3 18 12
	000000 16  3 18 13
	000000 16  3 18 14
	000000 16  3 18 15
	000097 16  3 18 16
	000000 16  3 27  3
	000049 16  4 26 13
	000165 16  5 20 11
	000037 16  7  7 13
	000044 16  8 19 13
	000000 16  8 19 14
	000000 16  8 19 15
	000000 16  8 19 16
	000077 16  9 13 13
	000075 16  9 26 15
	000007 16 12 23 10
   -> notV 0000305 of 0043680 (0.70 prctg)
Pre-process PC 14  SC 59  yB 0 
	 value yy mm dd hh
	000000 12  1 16 23
	000000 12  1 16 24
	000013 12  2  1 14
	000031 12  2 16 12
	000024 12  3 11  4
	000000 12  3 11  5
	000000 12  3 11  6
	000000 12  3 11  7
	000000 12  3 11  8
	000000 12  3 11  9
	000000 12  3 11 10
	000000 12  3 11 11
	000072 12  3 11 12
	000000 12  3 25  3
	000102 12  3 28 13
	000147 12  4 26 12
	000000 12  5 24  1
	000001 12  5 24  2
	000080 12  5 24 13
	000068 12  6  8 12
	000081 12  6 14 13
	000199 12  7 19 13
	000087 12  7 27 12
	000065 12  8 15  4
	000088 12  8 23 19
	000054 12  8 31 10
	000054 12  9 13 12
	000023 12  9 25  9
	000000 12  9 25 10
	000000 12  9 25 11
	000253 12  9 30  7
	000042 12 10  5 11
	000044 12 10 26 13
	000039 12 11  7 12
	000248 12 11 21 14
	000069 12 11 21 15
	000006 12 11 23 14
	000022 12 11 23 15
	000095 12 11 26 14
	000165 12 11 26 15
	000004 12 11 27 11
	000258 12 11 27 12
	000172 12 11 27 13
	000091 12 12  8 14
	000113 12 12 27 12
	000007 13  1 10 17
	000069 13  3  1 13
	000078 13  3  1 14
	000072 13  3 14 14
	000059 13  3 27 11
	000000 13  3 31  3
	000177 13  4 22 15
	000091 13  4 26 13
	000057 13  5 10 12
	000119 13  5 22 14
	000070 13  6  7 10
	000137 13  6 15 19
	000000 13  6 15 20
	000000 13  6 15 21
	000000 13  6 15 22
	000000 13  6 15 23
	000000 13  6 15 24
	000000 13  6 17  1
	000000 13  6 17  2
	000000 13  6 17  3
	000000 13  6 17  4
	000000 13  6 17  5
	000000 13  6 17  6
	000000 13  6 17  7
	000000 13  6 17  8
	000000 13  6 17  9
	000000 13  6 17 10
	000000 13  6 17 11
	000000 13  6 17 12
	000000 13  6 17 13
	000065 13  6 17 14
	000079 13  6 24 11
	000062 13  7  1 10
	000076 13  7 19 11
	000033 13  7 26 11
	000000 13  7 26 12
	000000 13  7 26 13
	000000 13  7 26 14
	000000 13  7 26 15
	000076 13  7 26 16
	000090 13  8  2 14
	000075 13  8 16 13
	000088 13  8 30 13
	000048 13  9 27 12
	000055 13  9 27 13
	000207 13 10 11 12
	000014 13 10 17 12
	000031 13 10 31 11
	000047 13 11 28 12
	000043 13 12 20 13
	000041 13 12 20 14
	000029 14  1  9 13
	000051 14  1 23 12
	000044 14  2  6 15
	000021 14  3  7 10
	000000 14  3 30  3
	000026 14  4  2 12
	000043 14  4 26 24
	000181 14  5 29 13
	000090 14  5 29 14
	000085 14  6 26 13
	000067 14  7 10 14
	000105 14  7 24 13
	000054 14  8 20 11
	000040 14  9  3 12
	000054 14 10  3 13
	000221 14 10 13 15
	000180 14 10 13 16
	000072 14 11 12 14
	000068 14 11 26 13
	000032 14 11 27 13
	000076 14 11 27 14
	000034 14 12 12 13
	000057 15  1  9 15
	000063 15  1 23 13
	000043 15  2 20 11
	000061 15  3 20 12
	000000 15  3 29  3
	000098 15  4 10 15
	000097 15  4 14 14
	000048 15  4 17 11
	000129 15  4 29 13
	000059 15  5  8 10
	000074 15  5  8 11
	000077 15  5 14 11
	000117 15  6  5 13
	000204 15  6  5 14
	000057 15  6 12 12
	000080 15  6 14 23
	000265 15  6 25 13
	000069 15  6 26 11
	000106 15  7 24 12
	000031 15  8  7 11
	000032 15  9 13  9
	000001 15  9 13 10
	000001 15  9 13 11
	000049 15  9 13 12
	000001 15  9 13 13
	000001 15  9 13 14
	000001 15  9 13 15
	000049 15  9 13 16
	000069 15  9 13 17
	000022 15  9 13 18
	000027 15  9 13 19
	000047 15  9 13 20
	000019 15  9 13 21
	000001 15  9 13 22
	000001 15  9 13 23
	000001 15  9 13 24
	000001 15  9 14  1
	000001 15  9 14  2
	000001 15  9 14  3
	000001 15  9 14  4
	000001 15  9 14  5
	000001 15  9 14  6
	000001 15  9 14  7
	000001 15  9 14  8
	000059 15  9 18 13
	000043 15 10  1 12
	000047 15 10 16 13
	000057 15 10 26 15
	000000 15 11  2 10
	001347 15 11  2 11
	000073 15 11 25 13
	000238 15 11 25 14
	000044 15 12 11 13
	000019 15 12 21 11
	000018 16  1 19 12
	000050 16  2  5 13
	000047 16  2 19 11
	000056 16  3  4 12
	000033 16  3 18 12
	000099 16  3 18 13
	000000 16  3 27  3
	000021 16  3 30 11
	000096 16  5  8 15
	000717 16  5  8 16
	000182 16  5  8 17
	000001 16  5  8 18
	000083 16  5 10 20
	000001 16  5 10 21
	000010 16  5 10 22
	000080 16  5 10 23
	000246 16  5 10 24
	000296 16  5 11  1
	000050 16  5 11 10
	000036 16  5 11 11
	000037 16  5 18 11
	000221 16  5 18 12
	000034 16  6 16  9
	000092 16  6 16 19
	000080 16  6 24 12
	000125 16  7 22 14
	000072 16  8 18 13
	000068 16  9  1 11
	000049 16 10 13 11
	000052 16 10 28 13
	000018 16 11 25 10
	000033 16 12  5 10
	000151 16 12 23 15
   -> notV 0000205 of 0043824 (0.47 prctg)
