Pre-process PC 08  SC 47  yB 0 
	 value yy mm dd hh
	000000 15  5 23 12
	000028 15  6 24 14
	000055 15  7  7 14
	000026 15  7 22 13
	000008 15  7 27 23
	000001 15  7 27 24
	000001 15  7 28  1
	000001 15  7 28  2
	000001 15  7 28  3
	000001 15  7 28  4
	000001 15  7 28  5
	000001 15  7 28  6
	000001 15  7 28  7
	000001 15  7 28  8
	000001 15  7 28  9
	000001 15  7 28 10
	000007 15  7 28 11
	000022 15  8  5 13
	000065 15  8  6 13
	000000 15  8  7 12
	000033 15  8  7 17
	000000 15  8  7 18
	000000 15  8  7 19
	000000 15  8  7 20
	000000 15  8  7 21
	000000 15  8  7 22
	000000 15  8  7 23
	000000 15  8  7 24
	000000 15  8  8  1
	000000 15  8  8  2
	000000 15  8  8  3
	000000 15  8  8  4
	000000 15  8  8  5
	000000 15  8  8  6
	000000 15  8  8  7
	000000 15  8  8  8
	000000 15  8  8  9
	000000 15  8  8 10
	000013 15  8  8 16
	000000 15  8  8 17
	000000 15  8  8 18
	000000 15  8  8 19
	000021 15  8  8 20
	000000 15  8  9  2
	000000 15  8  9  3
	000000 15  8  9  4
	000000 15  8  9  5
	000000 15  8  9  6
	000000 15  8  9  7
	000000 15  8  9  8
	000000 15  8  9  9
	000000 15  8  9 10
	000000 15  8  9 11
	000000 15  8  9 12
	000004 15  8  9 13
	000008 15  8  9 14
	000053 15  8 12 12
	000001 15  8 12 13
	000001 15  8 12 14
	000001 15  8 12 15
	000001 15  8 12 16
	000001 15  8 12 17
	000001 15  8 12 18
	000001 15  8 12 19
	000001 15  8 12 20
	000001 15  8 12 21
	000001 15  8 12 22
	000001 15  8 12 23
	000001 15  8 12 24
	000001 15  8 13  1
	000001 15  8 13  2
	000001 15  8 13  3
	000001 15  8 13  4
	000001 15  8 13  5
	000001 15  8 13  6
	000001 15  8 13  7
	000001 15  8 13  8
	000001 15  8 13  9
	000002 15  8 13 10
	000001 15  8 13 11
	000001 15  8 13 12
	000000 15  8 13 13
	000000 15  8 13 14
	000004 15  8 13 15
	000092 15  8 13 16
	000014 15  8 18 11
	000030 15  9 18 11
	000018 15  9 23 16
	000112 15  9 23 17
	000034 15  9 29 12
	000046 15 10 28 11
	000001 15 11  9 17
	000002 15 11  9 18
	000002 15 11  9 19
	000001 15 11  9 20
	000001 15 11  9 21
	000001 15 11  9 22
	000001 15 11  9 23
	000001 15 11  9 24
	000002 15 11 10  1
	000002 15 11 10  2
	000002 15 11 10  3
	000002 15 11 10  4
	000002 15 11 10  5
	000001 15 11 10  6
	000002 15 11 10  7
	000001 15 11 10  8
	000002 15 11 10  9
	000001 15 11 10 10
	000015 15 11 10 11
	000114 15 11 24 14
	000045 16  1  7 10
	000013 16  1 12 10
	000068 16  1 12 11
	000050 16  2  2 13
	000039 16  2 18 11
	000051 16  3  2 12
	000063 16  3 16 15
	000000 16  3 27  3
	000052 16  3 30 13
	000069 16  4 12 13
	000066 16  4 27 13
	000048 16  5 25 11
	000023 16  6 21 14
	000033 16  7  4 15
	000042 16  9 20  8
	000137 16  9 20  9
	000023 16  9 20 12
	000025 16  9 27 13
	000042 16 11  8 14
	000043 16 12  9 13
	000104 16 12 20 10
   -> notV 0000345 of 0043848 (0.79 prctg)
Pre-process PC 08  SC 56  yB 0 
	 value yy mm dd hh
	000119 12  1 10 19
	000000 12  1 10 20
	000000 12  1 10 21
	000000 12  1 10 22
	000104 12  1 10 23
	000000 12  1 10 24
	000000 12  1 11  1
	000057 12  1 11  2
	000000 12  1 11  3
	000000 12  1 11  4
	000000 12  1 11  5
	000000 12  1 11  6
	000000 12  1 11  7
	000000 12  1 11  8
	000000 12  1 11  9
	000000 12  1 11 10
	000118 12  1 11 11
	000000 12  1 23  8
	000000 12  1 23  9
	000000 12  1 23 10
	000072 12  2  1 24
	000000 12  2  2  1
	000000 12  2  2  2
	000000 12  2  2  3
	000000 12  2  2  4
	000000 12  2  2  5
	000000 12  2  2  6
	000000 12  2  2  7
	000000 12  2  2  8
	000000 12  2  2  9
	000076 12  2  7 11
	000063 12  3 13 14
	000013 12  3 20  5
	000026 12  3 20  7
	000000 12  3 25  3
	000017 12  4 18 14
	000000 12  5 27  6
	000000 12  5 27  7
	000000 12  5 27  8
	000000 12  5 27  9
	000000 12  5 27 10
	000000 12  5 27 11
	000000 12  5 27 12
	000042 12  7 17 14
	000068 12  9 11 13
	000011 12  9 24 15
	000057 12  9 25 10
	000043 12  9 28 12
	000012 12 11  5 15
	000051 12 12 17  8
	000000 12 12 17  9
	000044 12 12 17 10
	000028 12 12 20 15
	000076 13  1  9 10
	000000 13  3 31  3
	000095 13  5 21  9
	000000 13  5 21 10
	000000 13  5 21 11
	000048 13  5 21 12
	000021 13  6  8 13
	000000 13  6  8 14
	000000 13  6  8 15
	000000 13  6  8 16
	000000 13  6  8 17
	000000 13  6  8 18
	000000 13  6  8 19
	000000 13  6  8 20
	000000 13  6  8 21
	000000 13  6  8 22
	000000 13  6  8 23
	000000 13  6  8 24
	000000 13  6 10  1
	000000 13  6 10  2
	000000 13  6 10  3
	000000 13  6 10  4
	000000 13  6 10  5
	000000 13  6 10  6
	000000 13  6 10  7
	000000 13  6 10  8
	000000 13  6 10  9
	000000 13  6 10 10
	000000 13  6 10 11
	000000 13  6 10 12
	000000 13  6 10 13
	000001 13  6 10 14
	000043 13  6 15  8
	000000 13  6 15  9
	000000 13  6 15 10
	000000 13  6 15 11
	000000 13  6 15 12
	000000 13  6 15 13
	000000 13  6 15 14
	000000 13  6 15 15
	000000 13  6 15 16
	000000 13  6 15 17
	000000 13  6 15 18
	000035 13  6 15 19
	000097 13  9 18 13
	000075 13 11 13 10
	000057 13 11 13 11
	000057 13 11 13 17
	000066 13 12 10 13
	000023 14  3  4 13
	000025 14  3 26 14
	000000 14  3 30  3
	000055 14  4  8 13
	000000 14  4  8 14
	000026 14  4  8 15
	000001 14  4 14 14
	000030 14  5 13 13
	000014 14  5 13 14
	000037 14  5 14 13
	000083 14  5 14 14
	000052 14  5 14 15
	000053 14  6 11 14
	000023 14  7  7 15
	000029 14  7  8 13
	000043 14  7 22 14
	000038 14  8  7 15
	000079 14  8 19 10
	000031 14  9 16 14
	000081 14  9 30 12
	000048 14 10 14 11
	000039 14 10 28 13
	000080 14 10 28 14
	000090 14 10 28 15
	000149 14 10 28 16
	000101 14 10 28 17
	000060 14 10 28 18
	000143 14 10 28 19
	000036 14 11 14 10
	000070 14 11 28 13
	000098 14 12 15 11
	000000 14 12 15 12
	000000 14 12 15 13
	000000 14 12 15 14
	000000 14 12 15 15
