% nSim ->     816
%      nExp        nIn        hLS      trFcn         lr        trC
       276         15          3          1       0.01       5000
       277         15          3          2       0.20       5000
       278         15          3          2       0.10       5000
       279         15          3          2       0.05       5000
       280         15          3          2       0.01       5000
       281         15          4          1       0.20       5000
       282         15          4          1       0.10       5000
       283         15          4          1       0.05       5000
       284         15          4          1       0.01       5000
       285         15          4          2       0.20       5000
       286         15          4          2       0.10       5000
       287         15          4          2       0.05       5000
       288         15          4          2       0.01       5000
       289         15          5          1       0.20       5000
       290         15          5          1       0.10       5000
       291         15          5          1       0.05       5000
       292         15          5          1       0.01       5000
       293         15          5          2       0.20       5000
       294         15          5          2       0.10       5000
       295         15          5          2       0.05       5000
       296         15          5          2       0.01       5000
       297         15          8          1       0.20       5000
       298         15          8          1       0.10       5000
       299         15          8          1       0.05       5000
       300         15          8          1       0.01       5000
       301         15          8          2       0.20       5000
       302         15          8          2       0.10       5000
       303         15          8          2       0.05       5000
       304         15          8          2       0.01       5000
       305         15         10          1       0.20       5000
       306         15         10          1       0.10       5000
       307         15         10          1       0.05       5000
       308         15         10          1       0.01       5000
       309         15         10          2       0.20       5000
       310         15         10          2       0.10       5000
       311         15         10          2       0.05       5000
       312         15         10          2       0.01       5000
       313         15         12          1       0.20       5000
       314         15         12          1       0.10       5000
       315         15         12          1       0.05       5000
       316         15         12          1       0.01       5000
       317         15         12          2       0.20       5000
       318         15         12          2       0.10       5000
       319         15         12          2       0.05       5000
       320         15         12          2       0.01       5000
       321         15         15          1       0.20       5000
       322         15         15          1       0.10       5000
       323         15         15          1       0.05       5000
       324         15         15          1       0.01       5000
       325         15         15          2       0.20       5000
       326         15         15          2       0.10       5000
       327         15         15          2       0.05       5000
       328         15         15          2       0.01       5000
       329         15         18          1       0.20       5000
       330         15         18          1       0.10       5000
       331         15         18          1       0.05       5000
       332         15         18          1       0.01       5000
       333         15         18          2       0.20       5000
       334         15         18          2       0.10       5000
       335         15         18          2       0.05       5000
       336         15         18          2       0.01       5000
       337         15         20          1       0.20       5000
       338         15         20          1       0.10       5000
       339         15         20          1       0.05       5000
       340         15         20          1       0.01       5000
       341         15         20          2       0.20       5000
       342         15         20          2       0.10       5000
       343         15         20          2       0.05       5000
       344         15         20          2       0.01       5000
       345         15         25          1       0.20       5000
       346         15         25          1       0.10       5000
       347         15         25          1       0.05       5000
       348         15         25          1       0.01       5000
       349         15         25          2       0.20       5000
       350         15         25          2       0.10       5000
       351         15         25          2       0.05       5000
       352         15         25          2       0.01       5000
       353         15         30          1       0.20       5000
       354         15         30          1       0.10       5000
       355         15         30          1       0.05       5000
       356         15         30          1       0.01       5000
       357         15         30          2       0.20       5000
       358         15         30          2       0.10       5000
       359         15         30          2       0.05       5000
       360         15         30          2       0.01       5000
       361         15         35          1       0.20       5000
       362         15         35          1       0.10       5000
       363         15         35          1       0.05       5000
       364         15         35          1       0.01       5000
       365         15         35          2       0.20       5000
       366         15         35          2       0.10       5000
       367         15         35          2       0.05       5000
       368         15         35          2       0.01       5000
       369         15         40          1       0.20       5000
       370         15         40          1       0.10       5000
       371         15         40          1       0.05       5000
       372         15         40          1       0.01       5000
       373         15         40          2       0.20       5000
       374         15         40          2       0.10       5000
       375         15         40          2       0.05       5000
       376         15         40          2       0.01       5000
       377         15         45          1       0.20       5000
       378         15         45          1       0.10       5000
       379         15         45          1       0.05       5000
       380         15         45          1       0.01       5000
       381         15         45          2       0.20       5000
       382         15         45          2       0.10       5000
       383         15         45          2       0.05       5000
       384         15         45          2       0.01       5000
       385         15         50          1       0.20       5000
       386         15         50          1       0.10       5000
       387         15         50          1       0.05       5000
       388         15         50          1       0.01       5000
       389         15         50          2       0.20       5000
       390         15         50          2       0.10       5000
       391         15         50          2       0.05       5000
       392         15         50          2       0.01       5000
       393         15         55          1       0.20       5000
       394         15         55          1       0.10       5000
       395         15         55          1       0.05       5000
       396         15         55          1       0.01       5000
       397         15         55          2       0.20       5000
       398         15         55          2       0.10       5000
       399         15         55          2       0.05       5000
       400         15         55          2       0.01       5000
       401         15         60          1       0.20       5000
       402         15         60          1       0.10       5000
       403         15         60          1       0.05       5000
       404         15         60          1       0.01       5000
       405         15         60          2       0.20       5000
       406         15         60          2       0.10       5000
       407         15         60          2       0.05       5000
       408         15         60          2       0.01       5000
       409         20          3          1       0.20       5000
       410         20          3          1       0.10       5000
       411         20          3          1       0.05       5000
       412         20          3          1       0.01       5000
       413         20          3          2       0.20       5000
       414         20          3          2       0.10       5000
       415         20          3          2       0.05       5000
       416         20          3          2       0.01       5000
       417         20          4          1       0.20       5000
       418         20          4          1       0.10       5000
       419         20          4          1       0.05       5000
       420         20          4          1       0.01       5000
       421         20          4          2       0.20       5000
       422         20          4          2       0.10       5000
       423         20          4          2       0.05       5000
       424         20          4          2       0.01       5000
       425         20          5          1       0.20       5000
       426         20          5          1       0.10       5000
       427         20          5          1       0.05       5000
       428         20          5          1       0.01       5000
       429         20          5          2       0.20       5000
       430         20          5          2       0.10       5000
       431         20          5          2       0.05       5000
       432         20          5          2       0.01       5000
       433         20          8          1       0.20       5000
       434         20          8          1       0.10       5000
       435         20          8          1       0.05       5000
       436         20          8          1       0.01       5000
       437         20          8          2       0.20       5000
       438         20          8          2       0.10       5000
       439         20          8          2       0.05       5000
       440         20          8          2       0.01       5000
       441         20         10          1       0.20       5000
       442         20         10          1       0.10       5000
       443         20         10          1       0.05       5000
       444         20         10          1       0.01       5000
       445         20         10          2       0.20       5000
       446         20         10          2       0.10       5000
       447         20         10          2       0.05       5000
       448         20         10          2       0.01       5000
       449         20         12          1       0.20       5000
       450         20         12          1       0.10       5000
       451         20         12          1       0.05       5000
       452         20         12          1       0.01       5000
       453         20         12          2       0.20       5000
       454         20         12          2       0.10       5000
       455         20         12          2       0.05       5000
       456         20         12          2       0.01       5000
       457         20         15          1       0.20       5000
       458         20         15          1       0.10       5000
       459         20         15          1       0.05       5000
       460         20         15          1       0.01       5000
       461         20         15          2       0.20       5000
       462         20         15          2       0.10       5000
       463         20         15          2       0.05       5000
       464         20         15          2       0.01       5000
       465         20         18          1       0.20       5000
       466         20         18          1       0.10       5000
       467         20         18          1       0.05       5000
       468         20         18          1       0.01       5000
       469         20         18          2       0.20       5000
       470         20         18          2       0.10       5000
       471         20         18          2       0.05       5000
       472         20         18          2       0.01       5000
       473         20         20          1       0.20       5000
       474         20         20          1       0.10       5000
       475         20         20          1       0.05       5000
       476         20         20          1       0.01       5000
       477         20         20          2       0.20       5000
       478         20         20          2       0.10       5000
       479         20         20          2       0.05       5000
       480         20         20          2       0.01       5000
       481         20         25          1       0.20       5000
       482         20         25          1       0.10       5000
       483         20         25          1       0.05       5000
       484         20         25          1       0.01       5000
       485         20         25          2       0.20       5000
       486         20         25          2       0.10       5000
       487         20         25          2       0.05       5000
       488         20         25          2       0.01       5000
       489         20         30          1       0.20       5000
       490         20         30          1       0.10       5000
       491         20         30          1       0.05       5000
       492         20         30          1       0.01       5000
       493         20         30          2       0.20       5000
       494         20         30          2       0.10       5000
       495         20         30          2       0.05       5000
       496         20         30          2       0.01       5000
       497         20         35          1       0.20       5000
       498         20         35          1       0.10       5000
       499         20         35          1       0.05       5000
       500         20         35          1       0.01       5000
       501         20         35          2       0.20       5000
       502         20         35          2       0.10       5000
       503         20         35          2       0.05       5000
       504         20         35          2       0.01       5000
       505         20         40          1       0.20       5000
       506         20         40          1       0.10       5000
       507         20         40          1       0.05       5000
       508         20         40          1       0.01       5000
       509         20         40          2       0.20       5000
       510         20         40          2       0.10       5000
       511         20         40          2       0.05       5000
       512         20         40          2       0.01       5000
       513         20         45          1       0.20       5000
       514         20         45          1       0.10       5000
       515         20         45          1       0.05       5000
       516         20         45          1       0.01       5000
       517         20         45          2       0.20       5000
       518         20         45          2       0.10       5000
       519         20         45          2       0.05       5000
       520         20         45          2       0.01       5000
       521         20         50          1       0.20       5000
       522         20         50          1       0.10       5000
       523         20         50          1       0.05       5000
       524         20         50          1       0.01       5000
       525         20         50          2       0.20       5000
       526         20         50          2       0.10       5000
       527         20         50          2       0.05       5000
       528         20         50          2       0.01       5000
       529         20         55          1       0.20       5000
       530         20         55          1       0.10       5000
       531         20         55          1       0.05       5000
       532         20         55          1       0.01       5000
       533         20         55          2       0.20       5000
       534         20         55          2       0.10       5000
       535         20         55          2       0.05       5000
       536         20         55          2       0.01       5000
       537         20         60          1       0.20       5000
       538         20         60          1       0.10       5000
       539         20         60          1       0.05       5000
       540         20         60          1       0.01       5000
       541         20         60          2       0.20       5000
       542         20         60          2       0.10       5000
       543         20         60          2       0.05       5000
       544         20         60          2       0.01       5000
       545         25          3          1       0.20       5000
       546         25          3          1       0.10       5000
       547         25          3          1       0.05       5000
       548         25          3          1       0.01       5000
       549         25          3          2       0.20       5000
       550         25          3          2       0.10       5000
       551         25          3          2       0.05       5000
       552         25          3          2       0.01       5000
       553         25          4          1       0.20       5000
       554         25          4          1       0.10       5000
       555         25          4          1       0.05       5000
       556         25          4          1       0.01       5000
       557         25          4          2       0.20       5000
       558         25          4          2       0.10       5000
       559         25          4          2       0.05       5000
       560         25          4          2       0.01       5000
       561         25          5          1       0.20       5000
       562         25          5          1       0.10       5000
       563         25          5          1       0.05       5000
       564         25          5          1       0.01       5000
       565         25          5          2       0.20       5000
       566         25          5          2       0.10       5000
       567         25          5          2       0.05       5000
       568         25          5          2       0.01       5000
       569         25          8          1       0.20       5000
       570         25          8          1       0.10       5000
       571         25          8          1       0.05       5000
       572         25          8          1       0.01       5000
       573         25          8          2       0.20       5000
       574         25          8          2       0.10       5000
       575         25          8          2       0.05       5000
       576         25          8          2       0.01       5000
       577         25         10          1       0.20       5000
       578         25         10          1       0.10       5000
       579         25         10          1       0.05       5000
